Features,Sensitivity,Specificity,Accuracy,ROC AUC,Classifier
lured,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
commission_error,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
t_m_4,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
t_m_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
t_c_3,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
t_c_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
a_2_w,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
a_2_s,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
LA_reg10_late,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
SA_reg4_late,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
SA_reg9_late,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
SA_reg10_late,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
v12_reg1_early,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
v12_reg2_early,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
v12_reg3_early,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
em_hit,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
emot_t1_cond1_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
emot_t1_cond2_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
emot_t1_cond3_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
face_t2_cond5_5,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
visual_t3_cond7_4,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_BC_alpha,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_BC_beta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_BC_gamma_2,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_degree_beta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_degree_gamma_1,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Diam_alpha,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Diam_beta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Diam_gamma_1,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Diam_theta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Leaf_alpha,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Leaf_delta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_Leaf_gamma_2,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_R_gamma_1,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_R_gamma_2,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
MST_R_theta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
conn_alpha,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
conn_gamma_1,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
conn_gamma_2,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
conn_theta,0.8936170212765957,0.4523809523809524,0.6862745098039216,0.7426406926406927,SVC(cache_size=200.0)
